Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13675839211 --field-trial-handle=3436,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=3472 /prefetch:1, 20240618152542.687385+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,10460, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --field-trial-handle=2288,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=2284 /prefetch:11, 20240618152542.499363+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,10972, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13675939334 --field-trial-handle=4464,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=4768 /prefetch:9, 20240618152542.787714+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,11032, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13675932572 --field-trial-handle=4404,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=4496 /prefetch:9, 20240618152542.780835+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,13036, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13676555254 --field-trial-handle=5856,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=5148 /prefetch:1, 20240618152543.404827+180, None, 10584,2612, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --field-trial-handle=2132,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=2428 /prefetch:13, 20240618152542.531159+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,3464, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13676254751 --field-trial-handle=5132,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=5760 /prefetch:9, 20240618152543.103225+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,4264, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=gpu-process --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1808,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=1844 /prefetch:2, 20240618152542.493115+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,5072, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13675903821 --field-trial-handle=3828,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=4072 /prefetch:9, 20240618152542.752359+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,5188, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1718699866846854 --launch-time-ticks=13675925149 --field-trial-handle=4356,i,5259575427028993325,9876212602495303248,262144 --variations-seed-version=20240617-180108.982000 --mojo-platform-channel-handle=4376 /prefetch:9, 20240618152542.773594+180, C:\Program Files\Google\Chrome\Application\chrome.exe, 10584,6924, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
